Category: All categories

Country,LEGO: (11/28/20 - 11/28/25)
Christmas Island,
Poland,100
Hungary,94
Czechia,93
Denmark,92
Netherlands,79
Australia,70
Slovakia,69
United Kingdom,68
Isle of Man,
New Zealand,64
Germany,64
Switzerland,61
Falkland Islands (Islas Malvinas),
Guernsey,
Belgium,57
Austria,53
Norway,52
San Marino,
Sweden,52
Slovenia,50
Gibraltar,
Liechtenstein,
Jersey,
France,47
Canada,46
Ireland,46
Romania,45
Luxembourg,
St. Pierre & Miquelon,
Finland,44
Faroe Islands,
Iceland,
Lithuania,42
Estonia,
Åland Islands,
United States,41
Latvia,37
Croatia,35
Singapore,35
Italy,35
Malta,
Portugal,32
St. Helena,
Hong Kong,32
Svalbard & Jan Mayen,
Macao,
Brunei,
Puerto Rico,
Greenland,
Spain,25
Mexico,25
Andorra,
Guam,
Serbia,23
Greece,23
Bermuda,
New Caledonia,
Chile,21
Bulgaria,20
Caribbean Netherlands,
Réunion,
Costa Rica,
Cayman Islands,
Moldova,
United Arab Emirates,18
Cyprus,
Curaçao,
Aruba,
Sint Maarten,
Türkiye,16
Malaysia,16
Northern Mariana Islands,
Barbados,
South Africa,16
Montserrat,
St. Martin,
French Polynesia,
St. Kitts & Nevis,
São Tomé & Príncipe,
British Virgin Islands,
U.S. Virgin Islands,
Seychelles,
Bosnia & Herzegovina,
Bolivia,
Israel,14
Qatar,
Ukraine,14
Peru,14
Maldives,
Turks & Caicos Islands,
Panama,
Cook Islands,
Trinidad & Tobago,
French Guiana,
Palau,
Vietnam,13
Guatemala,
Vanuatu,
Brazil,12
Myanmar (Burma),
Bahrain,
Montenegro,
Belize,
Antigua & Barbuda,
Colombia,12
Martinique,
Cuba,
El Salvador,
Guadeloupe,
Philippines,11
North Macedonia,
Russia,11
Bahamas,
Mayotte,
Kuwait,
Grenada,
St. Lucia,
Belarus,
Cape Verde,
Honduras,
Mongolia,
St. Barthélemy,
Mauritius,
Lebanon,
Dominica,
China,
Marshall Islands,
Uruguay,
Angola,
Indonesia,9
Taiwan,8
Anguilla,
Georgia,
Venezuela,8
Madagascar,
Argentina,8
Guyana,
Armenia,
Ecuador,
St. Vincent & Grenadines,
Suriname,
Paraguay,
Albania,
Djibouti,
Laos,
Fiji,
Azerbaijan,
South Korea,7
Eritrea,
Jamaica,
Nicaragua,
Micronesia,
Turkmenistan,
Kazakhstan,
Namibia,
Sri Lanka,
Kosovo,
Dominican Republic,
Solomon Islands,
American Samoa,
Equatorial Guinea,
Thailand,5
Gabon,
Congo - Brazzaville,
Cambodia,
Oman,
Tonga,
Palestine,
Tunisia,
Botswana,
Bhutan,
Samoa,
Jordan,
Zimbabwe,
Iraq,
Papua New Guinea,
Saudi Arabia,4
Eswatini,
Mozambique,
Kyrgyzstan,
Uzbekistan,
Morocco,
Togo,
Egypt,
Pakistan,
Côte d’Ivoire,
Timor-Leste,
Malawi,
Ethiopia,
Ghana,
Comoros,
Senegal,
Gambia,
Zambia,
Algeria,
Niger,
Lesotho,
Tajikistan,
Mauritania,
Kenya,
Libya,
Iran,2
Benin,
Sierra Leone,
Japan,2
Rwanda,
Congo - Kinshasa,
Western Sahara,
Haiti,
Bangladesh,
Mali,
Nigeria,
Nepal,
Central African Republic,
India,2
Liberia,
Cameroon,
Chad,
Afghanistan,
Somalia,
Guinea-Bissau,
Uganda,
Guinea,
Burkina Faso,
Sudan,
Burundi,
Syria,
Tanzania,
South Sudan,
Yemen,
British Indian Ocean Territory,
U.S. Outlying Islands,
Antarctica,
Bouvet Island,
Heard & McDonald Islands,
Vatican City,
Tokelau,
Cocos (Keeling) Islands,
Monaco,
South Georgia & South Sandwich Islands,
Kiribati,
Tuvalu,
Wallis & Futuna,
Norfolk Island,
Niue,
French Southern Territories,
Nauru,
North Korea,
Pitcairn Islands,
