Category: All categories

Country,LEGO: (11/29/20 - 11/29/25)
Poland,100
Hungary,92
Denmark,90
Czechia,89
Netherlands,78
Slovakia,70
New Zealand,66
Australia,66
United Kingdom,64
Isle of Man,
Switzerland,59
Germany,58
Belgium,54
Guernsey,
Falkland Islands (Islas Malvinas),
Austria,51
Sweden,50
Norway,50
San Marino,
Slovenia,48
Gibraltar,
Liechtenstein,
Jersey,
Canada,45
Finland,44
Luxembourg,
France,43
Ireland,43
Romania,43
Faroe Islands,
Lithuania,41
Åland Islands,
St. Pierre & Miquelon,
Iceland,
Estonia,
United States,40
Latvia,
Singapore,35
Croatia,34
Portugal,32
Italy,32
St. Helena,
Malta,
Hong Kong,29
Macao,
Brunei,
Svalbard & Jan Mayen,
Puerto Rico,
Greenland,
Mexico,25
Spain,24
Andorra,
Guam,
Greece,21
Serbia,21
Bermuda,
New Caledonia,
Caribbean Netherlands,
Bulgaria,19
Cyprus,
Chile,18
Réunion,
Costa Rica,
Cayman Islands,
United Arab Emirates,17
Moldova,
Türkiye,17
Aruba,
Curaçao,
Northern Mariana Islands,
Barbados,
Montserrat,
Sint Maarten,
Malaysia,15
South Africa,15
St. Martin,
French Polynesia,
St. Kitts & Nevis,
São Tomé & Príncipe,
British Virgin Islands,
Ukraine,14
Seychelles,
Bolivia,
U.S. Virgin Islands,
Israel,14
Bosnia & Herzegovina,
Peru,13
Qatar,
Cook Islands,
Panama,
Turks & Caicos Islands,
Maldives,
French Guiana,
Trinidad & Tobago,
Vietnam,12
Palau,
Vanuatu,
Brazil,12
Bahrain,
Guatemala,
Bahamas,
Myanmar (Burma),
Colombia,11
Antigua & Barbuda,
Belize,
Cuba,
Montenegro,
North Macedonia,
Martinique,
Guadeloupe,
Russia,10
El Salvador,
Philippines,10
Anguilla,
Kuwait,
Mauritius,
Grenada,
St. Lucia,
Cape Verde,
Mayotte,
Mongolia,
St. Barthélemy,
Honduras,
Marshall Islands,
Belarus,
Lebanon,
China,
Dominica,
Uruguay,
Angola,
Indonesia,8
Taiwan,8
Venezuela,8
Georgia,
Argentina,8
Albania,
Ecuador,
St. Vincent & Grenadines,
Eritrea,
Guyana,
Madagascar,
Armenia,
Suriname,
Paraguay,
Djibouti,
Azerbaijan,
Laos,
Fiji,
South Korea,6
Micronesia,
Jamaica,
Kosovo,
Sri Lanka,
Kazakhstan,
Solomon Islands,
Namibia,
Nicaragua,
Dominican Republic,
American Samoa,
Tonga,
Thailand,5
Gabon,
Turkmenistan,
Equatorial Guinea,
Congo - Brazzaville,
Cambodia,
Palestine,
Oman,
Tunisia,
Botswana,
Bhutan,
Samoa,
Zimbabwe,
Jordan,
Papua New Guinea,
Saudi Arabia,4
Eswatini,
Kyrgyzstan,
Iraq,
Uzbekistan,
Morocco,
Mozambique,
Togo,
Egypt,
Timor-Leste,
Malawi,
Côte d’Ivoire,
Comoros,
Pakistan,
Algeria,
Ethiopia,
Ghana,
Gambia,
Senegal,
Zambia,
Niger,
Japan,2
Kenya,
Lesotho,
Sierra Leone,
Tajikistan,
Mauritania,
Iran,2
Benin,
Rwanda,
Bangladesh,
Libya,
Haiti,
Western Sahara,
Mali,
Nepal,
Nigeria,
Central African Republic,
Congo - Kinshasa,
India,2
Liberia,
Cameroon,
Chad,
Afghanistan,
Somalia,
Burkina Faso,
Tanzania,
Guinea,
Syria,
Sudan,
Burundi,
Uganda,
Guinea-Bissau,
South Sudan,
Yemen,
Bouvet Island,
Tokelau,
U.S. Outlying Islands,
Antarctica,
South Georgia & South Sandwich Islands,
Nauru,
Vatican City,
Christmas Island,
British Indian Ocean Territory,
Monaco,
Pitcairn Islands,
Kiribati,
Norfolk Island,
Wallis & Futuna,
Heard & McDonald Islands,
Niue,
Tuvalu,
North Korea,
Cocos (Keeling) Islands,
French Southern Territories,
